candidate_idx,conversation_id,message_count,duration_minutes,flags,dialogue_text,primary_intent,escalation_needed,escalation_rationale,evidence_notes,ambiguity_notes
1,1132199,2,489.0,Clean,"[Turn 0 | CUSTOMER | @386796 | 2017-10-14 09:04:59] (root):
@43229 @Tesco good service from Victoria on the tills at flitwick this morning, this is why customers prefer not to use self service

[Turn 1 | TESCO | @Tesco | 2017-10-14 17:14:01] (in reply to 1132199):
@386796 @43229 Hi Mark, I've called the store Duty Manager who confirmed she'll pass your message along to Victoria. TY - Reece",store_experience_and_staff,do_not_escalate,none,Store: Flitwick,
2,1225266,2,28.9,Clean,"[Turn 0 | CUSTOMER | @407453 | 2017-10-25 15:55:20] (root):
@Tesco can you reply to my dm please thank you :)

[Turn 1 | TESCO | @Tesco | 2017-10-25 16:24:11] (in reply to 1225266):
@407453 Hi. I've replied to your DM :) - Chris",general_feedback_and_chitchat,do_not_escalate,none,,
3,1365750,2,20.3,Clean,"[Turn 0 | CUSTOMER | @437952 | 2017-10-27 21:10:40] (root):
Hi @Tesco I’m @49880 personal trainer. Can you ban her from your stores please. Thank you https://t.co/pIzotKURKO

[Turn 1 | TESCO | @Tesco | 2017-10-27 21:30:59] (in reply to 1365750):
@437952 @49880 Sorry Scott, everyone deserves waffles! TY - Struan #wafflegoals",general_feedback_and_chitchat,do_not_escalate,none,,"Banter/joke tweet, not a genuine complaint"
4,1383106,2,612.2,Clean,"[Turn 0 | CUSTOMER | @441880 | 2017-10-27 21:23:56] (root):
I swear all Tesco do is mess me around

[Turn 1 | TESCO | @Tesco | 2017-10-28 07:36:08] (in reply to 1383106):
@441880 Hi Chloe, I have sent you a DM. Ty Andrew",general_feedback_and_chitchat,escalate,requires_pii_or_dm,,Complaint too vague to identify specific issue; agent moved straight to DM
5,143066,2,5.8,Clean,"[Turn 0 | CUSTOMER | @148307 | 2017-11-24 12:54:24] (root):
@Tesco Appalled by inhumane treatment of heavily pregnant Big Issue seller outside West Dulwich store. You won’t let her sit down. WHY?! Sort it out.

[Turn 1 | TESCO | @Tesco | 2017-11-24 13:00:10] (in reply to 143066):
@148307 Hi Alice, I'm so sorry to hear this! Can you DM us an elaboration of what happened please? Can you also include the time this happened and name or description of my colleague/s? Thanks - Jazzie https://t.co/py5Z991Bme",store_experience_and_staff,escalate,formal_complaint,Store: West Dulwich,
6,1444616,2,54.2,Clean,"[Turn 0 | CUSTOMER | @455227 | 2017-10-20 13:36:10] (root):
@Tesco after my husbands account was merged with mine (supposedly) we cannot use any of the vouchers we get sent! It’s very frustrating https://t.co/4v5sJxjRw2

[Turn 1 | TESCO | @Tesco | 2017-10-20 14:30:24] (in reply to 1444616):
@455227 I am sorry, Donna. Please DM your name, address, email address and Clubcard number. Thanks - Leighton",clubcard_and_loyalty,escalate,requires_pii_or_dm,,
7,14899,2,314.8,Clean,"[Turn 0 | CUSTOMER | @119228 | 2017-10-31 21:39:25] (root):
Another @Tesco delivery late again. #nodinner tonight

[Turn 1 | TESCO | @Tesco | 2017-11-01 02:54:14] (in reply to 14899):
@119228 Sorry Joe, did you receive your order? - Ceri",delivery_and_orders,do_not_escalate,none,,
8,1542038,2,40.0,Clean,"[Turn 0 | CUSTOMER | @164399 | 2017-11-03 22:05:22] (root):
@Tesco Is there any possible way that a HUGE fan like me simply get a follow from you it would truly mean the world to me! 😁

[Turn 1 | TESCO | @Tesco | 2017-11-03 22:45:23] (in reply to 1542038):
@164399 Yeah of course. All done. - Reece",general_feedback_and_chitchat,do_not_escalate,none,,
9,1573163,2,73.3,Clean,"[Turn 0 | CUSTOMER | @484918 | 2017-11-04 12:46:45] (root):
If you don't lift the nozzle in time at a Tesco filling station do they charge you? @Tesco has charged me £1 - is that right?

[Turn 1 | TESCO | @Tesco | 2017-11-04 14:00:04] (in reply to 1573163):
@484918 Hi Anouska. The £1 is to authorise your card but goes back on. Don't worry you haven't been charged. TY- Charlotte",pricing_promotions_and_vouchers,do_not_escalate,none,Fuel pump £1 pre-authorisation hold,
10,1585462,2,587.9,Clean,"[Turn 0 | CUSTOMER | @315216 | 2017-11-04 11:20:28] (root):
@Tesco however, the lady working on the food click &amp; collect hub is doing a great job

[Turn 1 | TESCO | @Tesco | 2017-11-04 21:08:24] (in reply to 1585462):
@315216 I'm so sorry Kezia! Can you please DM your full name, address and email so I can feed this back to Management? Thanks - Emma",store_experience_and_staff,escalate,requires_pii_or_dm,,"Compliment about staff, but DM requested to document for management"
